timestamp,label,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1.666274,Stairs Up,0.278275,-0.461456,-0.745438,-0.40385,0.440739,0.142108
1.682812,Stairs Up,0.274506,-0.453873,-0.746964,-0.468512,0.431517,0.282183
1.700366,Stairs Up,0.22464,-0.467087,-0.734558,-0.447134,0.489239,0.353641
1.720677,Stairs Up,0.205551,-0.490372,-0.682739,-0.354475,0.527593,0.355023
1.741129,Stairs Up,0.193512,-0.49942,-0.59166,-0.299669,0.437379,0.321782
1.766072,Stairs Up,0.176453,-0.495926,-0.530472,-0.373997,0.266078,0.257001
1.782323,Stairs Up,0.178467,-0.47023,-0.570267,-0.474681,0.18848,0.223675
1.801114,Stairs Up,0.157501,-0.425507,-0.62056,-0.486569,0.273638,0.272217
1.820651,Stairs Up,0.144974,-0.446533,-0.622833,-0.464049,0.352916,0.283607
1.841131,Stairs Up,0.161316,-0.491745,-0.594223,-0.474484,0.301965,0.249393
1.865705,Stairs Up,0.174301,-0.488022,-0.620117,-0.477264,0.153586,0.219558
1.881398,Stairs Up,0.188385,-0.445969,-0.703079,-0.341924,0.133856,0.275427
1.901114,Stairs Up,0.191803,-0.456848,-0.730453,-0.136244,0.206988,0.386979
1.920661,Stairs Up,0.238525,-0.554428,-0.706787,-0.028545,0.229822,0.474661
1.941023,Stairs Up,0.280182,-0.649429,-0.710526,-0.019478,0.145036,0.511432
1.967123,Stairs Up,0.254593,-0.673477,-0.760315,0.030614,0.033571,0.483008
1.982455,Stairs Up,0.207169,-0.652466,-0.833862,0.097885,-0.052746,0.396242
2.001134,Stairs Up,0.159241,-0.630219,-0.922928,0.126133,0.021244,0.322798
2.020684,Stairs Up,0.160339,-0.623901,-1.011246,0.122035,0.260288,0.260673
2.041112,Stairs Up,0.226486,-0.61795,-0.98999,0.097132,0.356989,0.311189
2.067296,Stairs Up,0.250244,-0.634995,-0.919159,-0.004394,0.164409,0.412053
2.082427,Stairs Up,0.219269,-0.651886,-0.934479,-0.125888,-0.120454,0.489341
2.101123,Stairs Up,0.12088,-0.718689,-1.086899,-0.142321,-0.106977,0.539451
2.120708,Stairs Up,0.011078,-0.736099,-1.111084,-0.017106,0.206866,0.39989
2.14112,Stairs Up,0.083405,-0.75499,-0.851761,-0.131949,-0.085787,0.208096
2.165853,Stairs Up,0.022537,-0.716934,-0.782074,-0.692572,-0.957744,-0.058606
2.18239,Stairs Up,-0.092209,-0.557663,-1.117035,-1.069901,-0.993376,-0.2274
2.201078,Stairs Up,-0.093002,-0.438446,-1.348343,-0.875492,-0.551756,-0.251581
2.220741,Stairs Up,-0.062088,-0.360611,-1.333008,-0.228991,-0.155107,0.009249
2.240336,Stairs Up,-0.094406,-0.366867,-1.054932,0.275387,-0.307649,0.182918
2.265562,Stairs Up,-0.132675,-0.419037,-0.883911,0.267811,-0.698026,0.099777
2.281505,Stairs Up,-0.169434,-0.400879,-0.929398,-0.047311,-0.709352,0.002419
2.301112,Stairs Up,-0.143936,-0.371521,-1.003204,-0.185106,-0.406172,0.000276
2.320746,Stairs Up,-0.092072,-0.364182,-0.952957,-0.018637,-0.249476,0.082598
2.341118,Stairs Up,-0.067734,-0.423096,-0.816544,0.225633,-0.320398,0.092026
2.366677,Stairs Up,-0.077301,-0.443497,-0.671646,0.288016,-0.45762,-0.013049
2.381664,Stairs Up,-0.080002,-0.447449,-0.590256,0.135015,-0.475101,-0.12838
2.401128,Stairs Up,-0.038132,-0.434479,-0.568375,-0.054706,-0.441484,-0.187787
2.420776,Stairs Up,-0.001846,-0.402908,-0.613251,-0.048127,-0.362649,-0.141076
2.441117,Stairs Up,0.006287,-0.372879,-0.583344,0.1915,-0.397526,-0.048749
2.466203,Stairs Up,-0.010605,-0.392502,-0.463577,0.43617,-0.680924,-0.041009
2.481504,Stairs Up,-0.071365,-0.480835,-0.442841,0.375501,-0.777351,-0.169905
2.50112,Stairs Up,-0.026169,-0.550095,-0.426331,0.124065,-0.661802,-0.574054
2.520795,Stairs Up,0.188797,-0.537552,-0.445786,0.027057,-0.837915,-0.632757
2.541117,Stairs Up,0.199005,-0.517776,-0.556778,-0.143736,-0.970036,-0.276264
2.566195,Stairs Up,0.00351,-0.609085,-0.827133,-0.540914,-0.762217,-0.201679
2.581601,Stairs Up,-0.040848,-0.673935,-1.197632,-0.581805,-0.037497,-0.440901
2.600333,Stairs Up,0.038818,-0.624756,-1.298691,-0.359708,0.259359,-0.570253
2.62063,Stairs Up,0.059998,-0.553085,-1.361298,-0.185457,0.290011,-0.462988
2.641141,Stairs Up,0.044617,-0.506271,-1.422211,0.018543,0.640191,-0.251993
2.666573,Stairs Up,0.090881,-0.49176,-1.293716,0.155993,0.937078,0.038831
2.681117,Stairs Up,0.12738,-0.535294,-1.109924,0.161872,0.936725,0.305604
2.701117,Stairs Up,0.073151,-0.567978,-0.939865,0.018034,0.689051,0.41007
2.720848,Stairs Up,-0.003662,-0.584778,-0.93306,-0.311628,0.482698,0.269588
2.741122,Stairs Up,0.008377,-0.484055,-1.082565,-0.35881,0.604702,0.231322
2.764839,Stairs Up,0.077347,-0.410004,-1.08577,-0.039896,0.633892,0.360881
2.78277,Stairs Up,0.106659,-0.401672,-0.985977,0.317029,0.471667,0.541413
2.801092,Stairs Up,0.037201,-0.437988,-0.858673,0.289387,0.277436,0.525538
2.820899,Stairs Up,-0.032898,-0.444397,-0.849365,-0.022265,0.23033,0.367234
2.841121,Stairs Up,-0.0271,-0.425079,-0.896103,-0.203483,0.391593,0.200743
2.864882,Stairs Up,0.029236,-0.397156,-0.878494,-0.161383,0.52556,0.161162
2.882652,Stairs Up,0.06189,-0.381897,-0.811005,-0.063152,0.54709,0.146278
2.901122,Stairs Up,0.079956,-0.375229,-0.720184,-0.048052,0.497115,0.135437
